Product Name,Price,Rating,Features
Aquaguard Ritz 5.5 L RO + UV + MTDS + SS Water Purifier Active Copper & stainless steel tank,"₹17,499",4.1,"Electrical & Storage1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer."
Pureit by HUL Advanced Max 6 L Mineral RO + UV + MF + MP Water Purifier with Mineral Cartridge,"₹8,499",4.4,"Electrical & StorageFiltration Capacity: 20 L/hr1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer."
Aqua Fresh EPICAQUA+RO+UV+UF+TDSADJUSTER 15 L RO + UV + UF + ATDS Water Purifier,"₹4,099",4,"Electrical & StorageFiltration Capacity: 12 L/hrwarranty on Moter/Smps available from Manufacturer. But Installation amount will be paid by customer 500-700/- . If any problem during warranty period, then buyer will courier to Manufacturer or service center address after that Manufacturer will replace MOTER/SMPS (Manufacturer will courier parts and it will get delivered to customer's address within maximum 4-6 days (working days) and every visit will be chargeable after the installation (RS300/-) All service will be chargeable."
Aqua Fresh Omega Audy+Ro+Uv+Uf+Tds+mineral 12 L RO + UV + UF + TDS Water Purifier,"₹3,999",4.1,"Electrical & StorageFiltration Capacity: 10 L/hrwarranty on Moter/Smps available from Manufacturer. But Installation amount will be paid by customer 500-700/- . If any problem during warranty period, then buyer will courier to Manufacturer or service center address after that Manufacturer will replace MOTER/SMPS (Manufacturer will courier parts and it will get delivered to customer's address within maximum 4-6 days (working days) and every visit will be chargeable after the installation (RS300/-) All service will be chargeable."
Aqua Fresh VENTEX B CR COPPER+ALK+RO+UV+TDS AUTOMATIC ELECTRICAL BOREWELL WATER PURIFIER 12 L RO + UV ...,"₹4,399",4.2,"Electrical & StorageFiltration Capacity: 12 L/hrONE YEAR OFFSITE WARRANTY ON ALL ELECTRONIC PARTS (smps & motor) , INSTALLATION WILL BE PROVIDED BY SELLER, BUYER HAS TO PAY RS. 500-700 (ACCORDING TO DISTANCE) FOR INSTALLATION OUR TECHNICIAN WILL VISIT BUYER WITH IN 24 TO 48 HOURS for query/installation 8178961873 between 10 am to 6 pm. after installation every visit will be chargeable 300. SUNDAY closed."
Aqua Fresh Copper opel 18 ltr +water filter 18 L RO + UV + UF + TDS Water Purifier,"₹3,999",4,"Electrical & StorageFiltration Capacity: 18 L/hrwarranty on Moter/Smps available from Manufacturer. But Installation amount will be paid by customer 500-700/- . If any problem during warranty period, then buyer will courier to Manufacturer or service center address after that Manufacturer will replace MOTER/SMPS (Manufacturer will courier parts and it will get delivered to customer's address within maximum 4-6 days (working days) and every visit will be chargeable after the installation (RS300/-) All service will be chargeable."
LIVPURE LIV-PEP-PRO-STAR. 7 L RO + UV + UF + Minerals Water Purifier,"₹8,499",4.3,Electrical & Storage1 Year Manufacturer Domestic Warranty
Pureit Vital 6 L RO + UV + Minerals Water Purifier with FiltraPower Technology,"₹11,999",4.5,Electrical & StorageFiltration Capacity: 24 L/hr1 Year Warranty
MarQ by Flipkart AQUA BIZ BLACK TPT 12 L RO + UV + UF + TDS + ALK + Copper Water Purifier,"₹3,999",3.7,Electrical & StorageFiltration Capacity: 10 L/hr1 Year Manufacturer Domestic Warranty on MOTOR and SMPS only & Service/Visit charges applicable
KENT Gold Optima (11016) 10 L Gravity Based + UF Water Purifier,"₹1,699",3.8,Non - Electrical & StorageNot Applicable
Keel Mineral Ro Copper Audi 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier,"₹3,499",3.9,"Electrical & StorageFiltration Capacity: 20 L/hrwarranty on Moter/Smps available from Manufacturer. But Installation amount will be paid by customer 500-700/- . If any problem during warranty period, then buyer will courier to Manufacturer or service center address after that Manufacturer will replace MOTER/SMPS (Manufacturer will courier parts and it will get delivered to customer's address within maximum 4-6 days (working days) and every visit will be chargeable after the installation (RS300/-) All service will be chargeable."
MarQ by Flipkart Innopure Crux 15 L RO + UV + UF + Copper + TDS Control Water Purifier,"₹3,999",4.1,Electrical & StorageFiltration Capacity: 12 L/hr1 Year Manufacturer Domestic Warranty on MOTOR and SMPS only & Service/Visit charges applicable
"KENT Ace 8 L RO + UV + UF + TDS Water Purifier with Mineral ROTM Technology,In-tank UV Disinfection","₹12,499",4.4,Electrical & Storage1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge
Aqua Fresh Opel copper 18 ltr+copper filter 18 L RO + UV + UF + Copper + TDS Control Water Purifier,"₹4,299",4,"Electrical & StorageFiltration Capacity: 20 L/hrwarranty on Moter/Smps available from Manufacturer. But Installation amount will be paid by customer 500-700/- . If any problem during warranty period, then buyer will courier to Manufacturer or service center address after that Manufacturer will replace MOTER/SMPS (Manufacturer will courier parts and it will get delivered to customer's address within maximum 4-6 days (working days) and every visit will be chargeable after the installation (RS300/-) All service will be chargeable."
MarQ by Flipkart Innopure Opel 18 L RO + UV + UF + TDS + Copper Water Purifier with Prefilter,"₹3,999",4,Electrical & StorageFiltration Capacity: 10 L/hr1 Year Manufacturer Domestic Warranty on MOTOR and SMPS only & Service/Visit charges applicable
KENT ULTRA STORAGE 8 L UV + UF Water Purifier,"₹5,999",4,Electrical & StorageFiltration Capacity: 60 L/hr1 year domestic manufacturer warranty
